mz,time,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
732.606794,246.952,20.61779629,20.37139843,19.26091065,20.25515191,17.79339459,18.17329007,18.61550663,18.89625434,22.15374236,21.99129911
224.0109969,2.33299,20.29308528,20.17131046,20.14701954,19.9724887,19.59801382,19.82081084,19.69186658,20.20504009,19.24967974,19.12811372
774.598442,222.6855,21.58819323,21.57771139,21.58320974,20.7191081,21.45915685,21.60960253,22.2652025,22.63377518,21.72977261,21.26383176
183.1011098,116.197,22.96019137,23.02129804,22.51455412,22.69829498,22.96693081,22.22899218,21.54867065,22.45185807,21.92261562,21.43473564
167.1062071,47.22655,21.21509752,20.89013699,20.65127942,21.4628578,21.75671709,21.41496097,20.6089368,20.64318229,20.94264523,20.89147836
297.1491713,270.124,21.72877282,21.82820273,21.4607956,21.47370281,21.99860687,21.32718711,21.57217028,22.25855994,22.14742874,21.80137865
96.0440948,129.384,20.80041236,21.2970377,21.24914464,20.89341055,21.16728681,20.12093788,19.77464317,20.1602678,20.61558326,20.7035155
265.1401445,46.6579,20.18909573,20.05871576,19.83029845,19.7246201,20.39661688,19.6881191,18.59481191,19.93065451,18.34248738,20.1602678
170.1534874,44.4008,18.8004578,18.4527455,15.64191045,19.05851296,17.67523196,18.67931075,16.92042128,18.32766751,17.31781945,17.49570828
287.2359328,35.8122,18.67931075,19.6266853,19.05689371,18.8846737,15.85968308,17.48832722,19.16004285,18.80893153,18.41223057,18.48316506
89.00803666,45.361,22.42008909,22.83081593,21.3381714,23.41650673,23.46902584,23.54504557,22.90599413,22.21773166,23.37311735,21.62296964
88.50883551,116.918,24.94581942,24.87775586,24.62005741,23.72307039,24.310039,23.44201345,24.35988136,24.63059351,23.88451426,23.58621531
807.06602,220.487,20.56963242,19.73316946,18.7843209,19.59983632,20.42830757,20.77267356,20.59304232,20.24192452,20.96746534,20.33855823
174.9529465,155.369,26.08938244,25.19140557,25.42116446,22.93008325,24.44223549,22.3027733,25.37826861,25.43048079,24.4810886,23.32657016
133.1008065,35.4209,20.45306123,19.9684366,19.90014702,19.51007826,18.90781897,19.40280187,19.72983702,19.71859588,19.23998851,19.73843236
443.231653,185.039,18.9299508,18.61550663,17.36579199,17.80134299,17.05248555,17.26131294,17.60980832,18.63111531,13.45797662,17.54875894
785.5131035,154.419,19.77694105,19.23551435,19.6574269,18.54759079,18.62788658,19.13872668,19.62280538,19.95852275,18.46350865,18.02282779
86.05978839,252.945,21.25345845,20.57888437,21.25721585,21.32194961,21.17083412,21.6254155,20.95101433,20.73555245,21.45538045,21.47928994
512.3333346,275.635,20.28379501,19.91684942,19.04331434,19.93261985,20.62281821,19.92676739,20.19629214,20.7565992,19.54043081,20.57695008
790.5568104,157.421,20.23998309,22.04412986,20.88211272,21.90063221,19.81918073,21.15473932,20.02589018,20.01449154,18.54460197,19.44352189
149.045681,200.091,22.4659693,21.85790707,21.27322538,21.59097568,22.12851384,23.12246104,22.42184088,22.0219,23.14527875,22.67863037
212.2002375,118.77,21.0774503,21.04695266,20.76820738,20.70046983,20.51820911,20.58957111,20.71306823,20.88452885,20.11866198,20.46055852
111.5215517,92.5505,23.01305906,22.89514218,22.16078156,21.64804047,21.96246,22.50462486,22.53090601,22.49028639,22.34882316,21.49545508
195.9928946,46.7411,21.40555577,20.89787759,20.5886157,20.30633329,19.96539446,20.57770492,20.95329413,20.91204243,20.95020055,20.01449154
364.0640918,280.487,21.04508285,21.0130115,22.35486233,24.00599916,23.32884024,23.36979405,22.87526424,21.86142688,23.19748684,23.54827635
269.2103357,135.122,22.24583308,22.267889,21.91555339,20.62570435,19.76919237,20.69197963,21.89954243,22.23772315,21.44671993,20.99433806
577.5177018,129.582,23.12778026,25.68303188,25.39189936,22.6661041,24.82398544,23.34173749,23.9910208,25.00359848,24.80320752,23.76879917
438.2285309,116.76,19.56907349,20.73313452,20.84187419,18.67688535,20.35078918,21.42743682,22.62692523,22.64746715,22.46926941,22.12562038
215.9827007,307.323,22.29177246,22.33706734,21.8142111,20.47388162,21.52889366,20.23078219,21.67648922,21.93249819,21.26919085,20.25826443
744.5512355,224.898,22.62373045,23.20537105,23.109261,22.5271505,23.18040486,23.53914464,23.30187555,23.46902584,23.66904767,22.97725082
624.5048583,126.938,19.32381442,22.65528583,23.17178577,21.73989825,23.4851263,21.78511714,23.24498471,23.02129804,24.17370011,23.41923567
